source,target,sentence,document
UNITED NATIONS,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
Allegation of Possible Bribery at Pristina Airport (Case No. 0218/04) 
 
I. INTRODUCTION 
 
1.",49.pdf
Kosovo,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
Allegation of Possible Bribery at Pristina Airport (Case No. 0218/04) 
 
I. INTRODUCTION 
 
1.",49.pdf
Kosovo,"Investigation Task Force 
 
Allegation of Possible Bribery","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
Allegation of Possible Bribery at Pristina Airport (Case No. 0218/04) 
 
I. INTRODUCTION 
 
1.",49.pdf
29 April 2004,Divisional,"On 29 April 2004 a Divisional Manager, UNMIK Pil lar IV, alleged that in October 
2002, an envelope containing €5200 was left in the office of an official of Public 
Enterprise Airport Pristina (PEAP), by an unidentif ied individual.",49.pdf
Divisional,UNMIK Pil lar IV,"On 29 April 2004 a Divisional Manager, UNMIK Pil lar IV, alleged that in October 
2002, an envelope containing €5200 was left in the office of an official of Public 
Enterprise Airport Pristina (PEAP), by an unidentif ied individual.",49.pdf
UNMIK Pil lar IV,"October 
2002","On 29 April 2004 a Divisional Manager, UNMIK Pil lar IV, alleged that in October 
2002, an envelope containing €5200 was left in the office of an official of Public 
Enterprise Airport Pristina (PEAP), by an unidentif ied individual.",49.pdf
"October 
2002",5200,"On 29 April 2004 a Divisional Manager, UNMIK Pil lar IV, alleged that in October 
2002, an envelope containing €5200 was left in the office of an official of Public 
Enterprise Airport Pristina (PEAP), by an unidentif ied individual.",49.pdf
ITF,Kosovo,"The ITF made contact with the Acting Commissione r of Police in Kosovo in order 
to ascertain the status of police enquiries into th e matter. 
 
 
",49.pdf
29 April 2004,Divisional,"On 29 April 2004, the Divisional Manager advised  the ITF of an incident which 
had occurred “sometime in October 2002”, which he/s he “thought” he/she had 
raised with the ITF previously.",49.pdf
Divisional,October 2002,"On 29 April 2004, the Divisional Manager advised  the ITF of an incident which 
had occurred “sometime in October 2002”, which he/s he “thought” he/she had 
raised with the ITF previously.",49.pdf
