source,target,sentence,document,cleaned_source,cleaned_target
Kosovo,"Investigation Task Force 
 
Allegation of Possible Bribery","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
Allegation of Possible Bribery at Pristina Airport (Case No. 0218/04) 
 
I. INTRODUCTION 
 
1.",49.pdf,republic of kosovo,investigation task force allegation of possible bribery
29 April 2004,Divisional,"On 29 April 2004 a Divisional Manager, UNMIK Pil lar IV, alleged that in October 
2002, an envelope containing €5200 was left in the office of an official of Public 
Enterprise Airport Pristina (PEAP), by an unidentif ied individual.",49.pdf,29 april 2004,divisional
Divisional,UNMIK Pil lar IV,"On 29 April 2004 a Divisional Manager, UNMIK Pil lar IV, alleged that in October 
2002, an envelope containing €5200 was left in the office of an official of Public 
Enterprise Airport Pristina (PEAP), by an unidentif ied individual.",49.pdf,divisional,unmik pil lar iv
UNMIK Pil lar IV,"October 
2002","On 29 April 2004 a Divisional Manager, UNMIK Pil lar IV, alleged that in October 
2002, an envelope containing €5200 was left in the office of an official of Public 
Enterprise Airport Pristina (PEAP), by an unidentif ied individual.",49.pdf,unmik pil lar iv,october 2002
"October 
2002",5200,"On 29 April 2004 a Divisional Manager, UNMIK Pil lar IV, alleged that in October 
2002, an envelope containing €5200 was left in the office of an official of Public 
Enterprise Airport Pristina (PEAP), by an unidentif ied individual.",49.pdf,october 2002,5200
ITF,Kosovo,"The ITF made contact with the Acting Commissione r of Police in Kosovo in order 
to ascertain the status of police enquiries into th e matter. 
 
 
",49.pdf,itf,republic of kosovo
Divisional,October 2002,"On 29 April 2004, the Divisional Manager advised  the ITF of an incident which 
had occurred “sometime in October 2002”, which he/s he “thought” he/she had 
raised with the ITF previously.",49.pdf,divisional,october 2002
October 2002,ITF,"On 29 April 2004, the Divisional Manager advised  the ITF of an incident which 
had occurred “sometime in October 2002”, which he/s he “thought” he/she had 
raised with the ITF previously.",49.pdf,october 2002,itf
Divisional,ITF,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf,divisional,itf
ITF,11 October 2002,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf,itf,11 october 2002
11 October 2002,Fush,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf,11 october 2002,fush
Fush,Kosovo,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf,fush,republic of kosovo
Divis,11 October 2002,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf,divis,11 october 2002
11 October 2002,8 October 2002,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf,11 october 2002,8 october 2002
8 October 2002,Divisional,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf,8 october 2002,divisional
Divisional,Euro,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf,divisional,euro
Euro,"5,200","The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf,euro,5200
"5,200",PEAP,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf,5200,peap
Divisional,September 2002,"The Divisional Manager explained that he/she was  away from the Airport from the 
middle of September 2002 until the beginning of Oct ober 2002.",49.pdf,divisional,september 2002
September 2002,the beginning of Oct ober 2002,"The Divisional Manager explained that he/she was  away from the Airport from the 
middle of September 2002 until the beginning of Oct ober 2002.",49.pdf,september 2002,the beginning of oct ober 2002
the previous Friday,October 2002,"The latter informed 
him/her that the previous Friday (believed to be 4 October 2002), a meeting had 
been held in his (the PEAP Official’s) office, with  persons bidding for the 
procurement contract for the new car parking area. 
 
",49.pdf,the previous friday,october 2002
8 October 2002,KTA Procure,"The note dated 8 October 2002 from the PEAP Off icial, indicates that the persons 
who had attended a meeting were the Company 1 Repre sentative, an engineer 
from the contractor “escavator” and the KTA Procure ment Specialist. 
 
11.",49.pdf,8 october 2002,kta procure
KTA Procure,Specialist,"The note dated 8 October 2002 from the PEAP Off icial, indicates that the persons 
who had attended a meeting were the Company 1 Repre sentative, an engineer 
from the contractor “escavator” and the KTA Procure ment Specialist. 
 
11.",49.pdf,kta procure,specialist
Divisional,UNMIK,"The Divisional Manager then reported the incide nt to his/her then chain of 
command, and the matter was passed to the UNMIK pol ice. 
 
",49.pdf,divisional,unmik
PEAP Offi,one day,"Analysis of the note written by the PEAP Offici al suggests that the company 
referred to in his note as “escavator” is in fact C ompany 1, who won the contract 
for the construction of the new car park at Pristin a Airport and whose 
representative, attended a meeting in the PEAP Offi cial’s office one day prior to 
the discovery of the money. 
 
",49.pdf,peap offi,one day
"5,200",5000,"The sum of €5,200 alleged to have been left in the envelope is unusual, since 
one would expect the sum to have been a “round sum”  such as €5000. 
 
",49.pdf,5200,5000
"Airport 
Engineer",2 6 September 2002,"It should be noted that an interoffice memorandum f rom a former Airport 
Engineer to the KTA Procurement Specialist, dated 2 6 September 2002, alleged 
that the PEAP Official had accepted an open envelop e of documents relating to 
the car park tender from Company 2, after the time for submission of bids had 
concluded and contrary to accepted procurement proc edures on the handling of 
bids.   ",49.pdf,airport engineer,2 6 september 2002
ITF,Divisional,"The ITF reviewed the letter from the Divisional  Manager to the UNMIK Police 
Officer, which indicates that the matter was referr ed to the UNMIK police on 11 
October 2002.",49.pdf,itf,divisional
