source,entity_count,relationship_count
49.pdf,57,23
60.pdf,10,28
89.pdf,95,103
63.pdf,51,124
73.pdf,46,141
9.pdf,26,153
8.pdf,73,175
16.pdf,112,234
114.pdf,5,236
15.pdf,36,260
14.pdf,140,329
111.pdf,18,340
105.pdf,48,377
10.pdf,99,412
38.pdf,140,481
39.pdf,73,503
11.pdf,55,519
110.pdf,6,519
106.pdf,41,548
112.pdf,4,550
13.pdf,50,574
113.pdf,12,583
107.pdf,39,614
36.pdf,48,642
21.pdf,91,688
35.pdf,36,707
108.pdf,40,735
31.pdf,55,751
24.pdf,168,842
26.pdf,157,906
27.pdf,64,943
69.pdf,121,1014
82.pdf,275,1165
5.pdf,97,1207
43.pdf,99,1242
4.pdf,92,1271
91.pdf,40,1304
52.pdf,73,1345
47.pdf,47,1360
1.pdf,38,1380
45.pdf,42,1409
51.pdf,85,1448
2.pdf,149,1509
44.pdf,48,1530
