type,entity,source
ORG,NOFORN,105.pdf
ORG,Climate Change Officials,106.pdf
ORG,Airlines,11.pdf
ORG,Department,36.pdf
ORG,UNICEF Management ag,69.pdf
ORG,KFOR,5.pdf
ORG,PCAU,27.pdf
ORG,UNITED NATIONS                                            NATIONS,24.pdf
ORG,United Nations Environment Programme,27.pdf
ORG,United Nations Sec,10.pdf
ORG,UN Regulations,24.pdf
ORG,"the Chartered 
Accountants",31.pdf
ORG,UNMIL’s Spec ial Investigation Unit,63.pdf
ORG,DRA,16.pdf
ORG,Committee,14.pdf
ORG,Financ,21.pdf
ORG,"the Annex 
Agreement",5.pdf
ORG,Direct Single Source Procurement,4.pdf
ORG,a Bid Evaluation Committee,38.pdf
ORG,the Procurement Task Force,82.pdf
ORG,• Airline,11.pdf
ORG,UNITED NATIONS,43.pdf
ORG,Financial Agreemen,1.pdf
ORG,ITF,31.pdf
ORG,"I. INTRODUCTION 
 
",43.pdf
ORG,PRIO Unit’s,16.pdf
ORG,"National 
Identification Card",69.pdf
ORG,the D/SRSG Pillar IV,39.pdf
ORG,"Intérimaire des Nations    
       Unies",1.pdf
ORG,United Nations,2.pdf
ORG,III - Investigative Details,13.pdf
ORG,"the 
Public Enterprise Airport Pristina",10.pdf
ORG,The United Nations Office,21.pdf
ORG,DPKO,10.pdf
ORG,United Nations,69.pdf
ORG,The Civil Engineer,38.pdf
ORG,Internal Oversight Unit,16.pdf
ORG,Chartered Account,31.pdf
ORG,Organization,27.pdf
ORG,Council,63.pdf
ORG,the Investigation Task Force,39.pdf
ORG,"APPLICABLE  LAWS 
 
2",26.pdf
ORG,UNMIK Fi,10.pdf
ORG,the United Nations,73.pdf
ORG,"the 
Public Enterprise Airport Pristina",9.pdf
ORG,the Executive Decision,52.pdf
ORG,Direct-Single Source,5.pdf
ORG,The ACGD Offi,26.pdf
ORG,the Air BP,52.pdf
ORG,United Nations,73.pdf
ORG,Division,26.pdf
ORG,UNMIK Pillar IV,51.pdf
ORG,ID/OIO S,26.pdf
ORG,the Eval uation Committee,39.pdf
ORG,the Evaluatio n Committee,39.pdf
ORG,STRICTLY,60.pdf
ORG,Council,8.pdf
ORG,Airport Engineer 1,39.pdf
ORG,IATA,11.pdf
ORG,Procure,39.pdf
ORG,Rompuy,111.pdf
ORG,Finance,21.pdf
ORG,a Bid Opening Commit,14.pdf
ORG,Repor,21.pdf
ORG,"UNMIK 
 
",36.pdf
ORG,VIII,26.pdf
ORG,SECRET//COMINT//REL TO USA,91.pdf
ORG,UNDP,26.pdf
ORG,Iraq Survey Group,91.pdf
ORG,the Task Force,82.pdf
ORG,the Investigation Task Force,4.pdf
ORG,KFOR,31.pdf
ORG,The Investigations Division of the Office of Int ernal Oversight Services,60.pdf
ORG,KTA,38.pdf
ORG,"Consolidated Budget 
Funds",43.pdf
ORG,Flat Display Information System,1.pdf
ORG,ITF,8.pdf
ORG,Kosovo Trust Agency,38.pdf
ORG,Facility Application & Agreement Form,69.pdf
ORG,UNMIK CIVPOL,47.pdf
ORG,Intérimaire des Nations,14.pdf
ORG,the Prist ina Airport,47.pdf
ORG,Pillar,31.pdf
ORG,UNITED NATIONS,15.pdf
ORG,UNMIK Pillar IV,38.pdf
ORG,NATIONS,21.pdf
ORG,Tender Documents,39.pdf
ORG,Z­3/OO/515570­09,108.pdf
ORG,DOTI,5.pdf
ORG,"Investigation Task Force 
 
Allegation of Possible Bribery",49.pdf
ORG,"Investigation Task Force 
 
 
 
Investigation",8.pdf
ORG,Divisional,10.pdf
ORG,Finance,51.pdf
ORG,Ancillary Physical Services,4.pdf
ORG,IMIS,26.pdf
ORG,Ministry of Foreign Affairs,105.pdf
ORG,United Nations,35.pdf
ORG,un,14.pdf
ORG,the Capital Expenditure,45.pdf
ORG,"the Evaluation 
Committee",8.pdf
ORG,"the Goods, Works or Services",5.pdf
ORG,"United Nations Interim 
Administration Mission",52.pdf
ORG,Pristina Air,8.pdf
ORG,Div,5.pdf
ORG,IAD,63.pdf
ORG,Department of Agriculture,16.pdf
ORG,Gotive H41 IB,16.pdf
ORG,"International
Energy Agency",106.pdf
ORG,Bank,52.pdf
ORG,Company,52.pdf
ORG,Immigration,47.pdf
ORG,UNITED NATIONS,1.pdf
ORG,UN-S,69.pdf
ORG,"the Chartered 
Accountants",10.pdf
ORG,STRICTLY,26.pdf
ORG,Airline,47.pdf
ORG,ge,51.pdf
ORG,"K 
 K
REFERENCE",15.pdf
ORG,"UNMIK 
Bank Account",52.pdf
ORG,Identification & Registration,16.pdf
ORG,the Airport Management,44.pdf
ORG,"K
K
cc:K Mr.",15.pdf
ORG,the Kosovo Trust Agency,31.pdf
ORG,ITF,10.pdf
ORG,United,27.pdf
ORG,"the Chartered 
Accountants",9.pdf
ORG,Loan Application & Loan Agreement Form,69.pdf
ORG,UNON,73.pdf
ORG,The DCDM Audit Report,52.pdf
ORG,"the Finance 
Administration Instruction 1999/2",45.pdf
ORG,"La Cresta 
Communications",82.pdf
ORG,Immigration Department,47.pdf
ORG,UN,39.pdf
ORG,PCCK,51.pdf
ORG,ITF,9.pdf
ORG,ID/OIOS Investigators,21.pdf
ORG,the Office for Coordination of Oversight of Publicly -Owned Enterprises,47.pdf
ORG,the UNMIK Public Procurement Regula,10.pdf
ORG,the Expansion of the Terminal Building,44.pdf
ORG,Management Letter,47.pdf
ORG,the Financial Investigati on Unit,38.pdf
ORG,KTA,2.pdf
ORG,U NON,69.pdf
ORG,Pillar,8.pdf
ORG,justi fication memorandum,9.pdf
ORG,"the Chartered 
Accountants",2.pdf
ORG,the Passenger Handling Services Department,47.pdf
ORG,BACKGROUND,2.pdf
ORG,Justice,36.pdf
ORG,UNMIK,1.pdf
ORG,"KWolfgangKNikolaus,",15.pdf
ORG,"Tenders” 
 
Allegation 3 : that",14.pdf
ORG,"BACKGROUND INFORMATION 
 
A. UN-SACCO 
 
5",69.pdf
ORG,SECRET//COMINT//REL TO USA,107.pdf
ORG,positivesignalsandcontinuedleadershipfromtheEU,114.pdf
ORG,"2 
 
Provisional Criminal Code of",14.pdf
ORG,Public Procurement,43.pdf
ORG,UNMIK Pillar IV,2.pdf
ORG,Kosovo Consolidated Budget Funds,8.pdf
ORG,"the Transport 
Sector of the UNMIK Directorate of Infrastructure A",5.pdf
ORG,DOTI,4.pdf
ORG,Divisional,49.pdf
ORG,KVS,16.pdf
ORG,Vendor,39.pdf
ORG,"BACKGROUND INFORMATION 
 
4",39.pdf
ORG,the Investigations Division,69.pdf
ORG,"the Japanese Ministry of Agriculture, Forestry and Fisheries",108.pdf
ORG,"Airport 
Engineer",49.pdf
ORG,UNICEF/Somalia,69.pdf
ORG,Telecommunication Consultants,82.pdf
ORG,UNMIK Police Officer,49.pdf
ORG,UN,4.pdf
ORG,OIOS,21.pdf
ORG,"the UNMIK 
Office of the Legal Adviser",43.pdf
ORG,"U N I T E D   N A T I O N S 
 
 
 
Office of Internal Oversight Services 
Investigations Division",63.pdf
ORG,National Security Agency,89.pdf
ORG,"Unconventional
Japaneseleadership
Z-3/OO/33343-06,291712Z",110.pdf
ORG,the International Energy Agency,106.pdf
ORG,a Secret US National Security Agency,105.pdf
ORG,Justice,51.pdf
ORG,KFOR,10.pdf
ORG,Depar,51.pdf
ORG,Bank,26.pdf
ORG,Co,51.pdf
ORG,Prishtina Air,2.pdf
ORG,Mauritius,26.pdf
ORG,PEAP Offi,49.pdf
ORG,the Kosovo Trust Agency,8.pdf
ORG,United Nations Agencies,69.pdf
ORG,Organizatio,24.pdf
ORG,"the 
Department of Justice",38.pdf
ORG,UNITED NATIONS,5.pdf
ORG,Allegation 2,27.pdf
ORG,Council,43.pdf
ORG,Cabinet,107.pdf
ORG,the un iforms,14.pdf
ORG,Birol,106.pdf
ORG,the Civil Administration,31.pdf
ORG,the UN System,24.pdf
ORG,EVIDENCE,24.pdf
ORG,the Investigation Task Force,43.pdf
ORG,Transportation,14.pdf
ORG,"the Airline ""Load Sheets",47.pdf
ORG,NSA,91.pdf
ORG,Pillar,9.pdf
ORG,PE AP,44.pdf
ORG,U,26.pdf
ORG,La Cresta’s,82.pdf
ORG,NSA,105.pdf
ORG,the Letter of Not,45.pdf
ORG,KCC,51.pdf
ORG,Consulting Firm,31.pdf
ORG,HCC,82.pdf
ORG,the Ministry of Finance,14.pdf
ORG,"SIU Investigation SIU/MON/0090/04  
 
",63.pdf
ORG,DSA,26.pdf
ORG,Airport Engineer 1,43.pdf
ORG,Capital Expenditure,45.pdf
ORG,DOTI,11.pdf
ORG,UNDP Bratislava,21.pdf
ORG,EIA,16.pdf
ORG,UNMIK Bank Subject Account,52.pdf
ORG,Organization,69.pdf
ORG,the Cargo Department,51.pdf
ORG,PISG,2.pdf
ORG,OPOE,36.pdf
ORG,"the Investigations 
Division of the Office of Internal Oversight Servic",21.pdf
ORG,an Economic Commission of  Africa,26.pdf
ORG,TF,1.pdf
ORG,UN,11.pdf
ORG,Ministry of Economy Trade and Industry,106.pdf
ORG,Air Traffic Control Services,2.pdf
ORG,National Security Agency,107.pdf
ORG,the Kosovo Trust Agency,10.pdf
ORG,"Airline 3, Airline 4, Airl ine 5 and Airline",11.pdf
ORG,the Cargo Apron,43.pdf
ORG,Employees,2.pdf
ORG,"Technology Services 
Division",82.pdf
ORG,Airline 2 Pristina Office,51.pdf
