source,target,sentence,document,relationship_type
UNITED NATIONS,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
Allegation of Possible Bribery at Pristina Airport (Case No. 0218/04) 
 
I. INTRODUCTION 
 
1.",49.pdf,contextual
Kosovo,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
Allegation of Possible Bribery at Pristina Airport (Case No. 0218/04) 
 
I. INTRODUCTION 
 
1.",49.pdf,contextual
Kosovo,"Investigation Task Force 
 
Allegation of Possible Bribery","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
Allegation of Possible Bribery at Pristina Airport (Case No. 0218/04) 
 
I. INTRODUCTION 
 
1.",49.pdf,contextual
Divisional,UNMIK Pil lar IV,"On 29 April 2004 a Divisional Manager, UNMIK Pil lar IV, alleged that in October 
2002, an envelope containing €5200 was left in the office of an official of Public 
Enterprise Airport Pristina (PEAP), by an unidentif ied individual.",49.pdf,contextual
ITF,Kosovo,"The ITF made contact with the Acting Commissione r of Police in Kosovo in order 
to ascertain the status of police enquiries into th e matter. 
 
 
",49.pdf,contextual
Divisional,ITF,"On 29 April 2004, the Divisional Manager advised  the ITF of an incident which 
had occurred “sometime in October 2002”, which he/s he “thought” he/she had 
raised with the ITF previously.",49.pdf,contextual
Divisional,ITF,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf,contextual
ITF,Fush,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf,contextual
Fush,Kosovo,"The Divisional Manager provided the ITF with a c opy of documents passed to an 
UNMIK police officer, on 11 October 2002 at UNMIK P olice in Fush, Kosovo, 
concerning the incident. 
 
 ",49.pdf,contextual
Divis,Divisional,"The documents consist of a letter from the Divis ional Manager to the UNMIK 
Police Officer dated 11 October 2002, and a file no te from the PEAP Official, 
dated 8 October 2002, to the Divisional Manager, de tailing the incident and 
annexing a list of serial numbers of Euro notes tot alling €5,200 alleged to have 
been left in the PEAP official’s diary in his offic e. . 
 
",49.pdf,contextual
