source,target,sentence,sentiment,source_file
UNMIK,Divisional,"7. **Documentation**: The Divisional Manager provided documents concerning the incident, which included a letter to a UNMIK police officer and notes from the PEAP Official detailing the circumstances of the envelope being found.

",NEGATIVE,49.pdf
Chain of Command,UNMIK,"**Chain of Command**: Following the discovery of the money, the Divisional Manager reported the incident to their superior, which subsequently led to notification of the UNMIK police.

",NEGATIVE,49.pdf
UNMIK,Divisional,"**Chain of Command**: Following the discovery of the money, the Divisional Manager reported the incident to their superior, which subsequently led to notification of the UNMIK police.

",NEGATIVE,49.pdf
The United Nations,the United Nations Interim Administration Mission,"**United Nations / UNMIK**: The United Nations established the United Nations Interim Administration Mission in Kosovo (UNMIK) to oversee administrative tasks in the region, including law enforcement.

",POSITIVE,49.pdf
the United Nations Interim Administration Mission,UNMIK,"**United Nations / UNMIK**: The United Nations established the United Nations Interim Administration Mission in Kosovo (UNMIK) to oversee administrative tasks in the region, including law enforcement.

",POSITIVE,49.pdf
Procurement Specialist,Kosovo Trust Agency,"4. **Kosovo Trust Agency (KTA)**: The KTA, as the entity with a Procurement Specialist present at the meeting, is indirectly related to the investigation, highlighting relationships between governmental/support organizations involved in the procurement process.

",POSITIVE,49.pdf
the Office of Internal Oversight Services,UN,"**United Nations (UN)**: The overarching organization that includes entities like UNMIL and the Office of Internal Oversight Services (ID/OIOS).

",POSITIVE,60.pdf
Office of Internal Oversight Services,UN,"3. **ID/OIOS (Office of Internal Oversight Services)**: An internal body of the UN responsible for conducting investigations into allegations of misconduct within the organization, specifically the entity that handled the investigation related to UNMIL.

",NEGATIVE,60.pdf
UN,UNMIL,"3. **ID/OIOS (Office of Internal Oversight Services)**: An internal body of the UN responsible for conducting investigations into allegations of misconduct within the organization, specifically the entity that handled the investigation related to UNMIL.

",NEGATIVE,60.pdf
the National Security Agency,NSA,"**NSA Intercepts**: The article discusses a top-secret report from the National Security Agency (NSA) detailing intercepted communications from French officials expressing concerns about the U.S. backing away from a bilateral intelligence cooperation agreement.

",NEGATIVE,89.pdf
The European Aeronautic Defence and Space Corporation,EADS,"5. **EADS Contract**: The European Aeronautic Defence and Space Corporation (EADS) was involved in a pending contract with the U.S. military regarding tanker aircraft, which was expected to be discussed.

",NEGATIVE,89.pdf
U.S. Government & EADS,EADS,"2. **U.S. Government & EADS**: There are negotiations between the U.S. military and EADS for a tanker aircraft contract, which indicates a business relationship involving defense procurement and potentially influencing military capabilities.

",NEGATIVE,89.pdf
UN,UNMIL,**United Nations (UN)**: The overarching organization under which UNMIL operates.,POSITIVE,63.pdf
UN,UNMIL,"**Mission des Nations Unies au République Démocratique de Congo (MONUC)**: The previous mission where Officer 1 served before joining UNMIL, indicating a relationship in terms of personnel movement within UN operations.

",POSITIVE,63.pdf
the Investigations Division of the Office of Internal Oversight Services,the United Nations Office,"**Investigation Initiation**: The report details an investigation launched by the Investigations Division of the Office of Internal Oversight Services (ID/OIOS) in response to an allegation involving a staff member from the United Nations Office in Nairobi (UNON/ITS).

",NEUTRAL,73.pdf
the United Nations,Financial Regulations and Rules,"**Applicable Laws and Regulations**: The report references several laws and regulations that are applicable to UN staff, including the need to uphold standards of integrity and compliance with Financial Regulations and Rules of the United Nations.

",POSITIVE,73.pdf
Financial Regulations and Rules,UN,"**Applicable Laws and Regulations**: The report references several laws and regulations that are applicable to UN staff, including the need to uphold standards of integrity and compliance with Financial Regulations and Rules of the United Nations.

",POSITIVE,73.pdf
Interviews Conducted,UNON,"**Research and Interviews Conducted**: The investigative methodology involved reviewing relevant documents and interviewing staff from UNON, UNPOS, and UNDP to gather evidence related to the alleged misconduct.

",POSITIVE,73.pdf
UNON,UNDP,"**Research and Interviews Conducted**: The investigative methodology involved reviewing relevant documents and interviewing staff from UNON, UNPOS, and UNDP to gather evidence related to the alleged misconduct.

",POSITIVE,73.pdf
the Department of Political Affairs,UNON,"**Background of UNPOS**: UNPOS, established by the Department of Political Affairs (DPA), is located in Gigiri, Kenya, and receives support from UNON.

",POSITIVE,73.pdf
UNON,DPA,"**Background of UNPOS**: UNPOS, established by the Department of Political Affairs (DPA), is located in Gigiri, Kenya, and receives support from UNON.

",POSITIVE,73.pdf
United Nations Political Office,United Nations Office,"1. **UNON and UNPOS Relationship**: 
   - UNON (United Nations Office in Nairobi) provides common services support to UNPOS (United Nations Political Office for Somalia).",POSITIVE,73.pdf
the Department of Political Affairs,DPA,"2. **UNPOS and Department of Political Affairs (DPA)**:
   - UNPOS is a mission established by the Department of Political Affairs (DPA), which signifies a directive relationship and oversight by the DPA over UNPOS operations.
  
",POSITIVE,73.pdf
DPA,Department of Political Affairs,"2. **UNPOS and Department of Political Affairs (DPA)**:
   - UNPOS is a mission established by the Department of Political Affairs (DPA), which signifies a directive relationship and oversight by the DPA over UNPOS operations.
  
",POSITIVE,73.pdf
UNDP,United Nations Development Programme,"3. **UNON and UNDP**:
   - The investigation involved interviews with staff from UNDP (United Nations Development Programme), indicating that there could be collaborative efforts or shared responsibilities among these agencies in Nairobi.

",NEGATIVE,73.pdf
UN Agencies,The Office of Internal Oversight Services,"**ID/OIOS and UN Agencies**:
   - The Office of Internal Oversight Services (ID/OIOS) has oversight authority over various UN bodies, including UNON and UNPOS, highlighting its role in ensuring compliance with regulations and investigating allegations of misconduct within these organizations.

",POSITIVE,73.pdf
The Office of Internal Oversight Services,UN,"**ID/OIOS and UN Agencies**:
   - The Office of Internal Oversight Services (ID/OIOS) has oversight authority over various UN bodies, including UNON and UNPOS, highlighting its role in ensuring compliance with regulations and investigating allegations of misconduct within these organizations.

",POSITIVE,73.pdf
