source,target,sentence,sentiment,source_file
Divisional,United_Nations_Interim_Administration_Mission_in_Kosovo,"**Incident Description**: On 29 April 2004, a Divisional Manager from UNMIK Pillar IV reported that in October 2002, €5,200 was found in the office of a Public Enterprise Airport Pristina (PEAP) official, allegedly left by an unidentified individual after a meeting involving a procurement contract.

",NEGATIVE,49.pdf
United_Nations_Interim_Administration_Mission_in_Kosovo,Space_Shuttle_Enterprise,"**Incident Description**: On 29 April 2004, a Divisional Manager from UNMIK Pillar IV reported that in October 2002, €5,200 was found in the office of a Public Enterprise Airport Pristina (PEAP) official, allegedly left by an unidentified individual after a meeting involving a procurement contract.

",NEGATIVE,49.pdf
the Cash Incident*,Company 1,"*Details of the Cash Incident**: The PEAP Official found the envelope with €5,200 after a meeting attended by representatives from Company 1 and a contractor, which raised concerns about potential bribery.

",NEGATIVE,49.pdf
Kosovo,Procurement Specialist,"**: An organization implicated in the bribery allegation, where the cash was allegedly found.

- **KTA (Kosovo Trust Agency)**: An organization whose Procurement Specialist participated in the procurement meeting concerning the car park and was interviewed during the investigation.

",NEUTRAL,49.pdf
United_Nations,United_Nations_Mission_in_Liberia,"**United Nations (UN)**: The overarching body governing the UNMIL and the Office of Internal Oversight Services (ID/OIOS).
   
",POSITIVE,60.pdf
United_Nations_Mission_in_Liberia,the Office of Internal Oversight Services,"**United Nations (UN)**: The overarching body governing the UNMIL and the Office of Internal Oversight Services (ID/OIOS).
   
",POSITIVE,60.pdf
Office of Internal Oversight Services,United_Nations_Mission_in_Liberia,"3. **OIOS (Office of Internal Oversight Services)**: The investigation body that conducted the inquiry into the allegations regarding the Senior Official from UNMIL.

",NEUTRAL,60.pdf
United_Nations,United_Nations_Mission_in_Liberia,"These organizations (UN, UNMIL, and OIOS) interact within the context of governance, oversight, and investigation processes, with OIOS providing oversight for actions taken within UNMIL.",POSITIVE,60.pdf
United_Nations_Mission_in_Liberia,OIOS,"These organizations (UN, UNMIL, and OIOS) interact within the context of governance, oversight, and investigation processes, with OIOS providing oversight for actions taken within UNMIL.",POSITIVE,60.pdf
OIOS,OIOS,"These organizations (UN, UNMIL, and OIOS) interact within the context of governance, oversight, and investigation processes, with OIOS providing oversight for actions taken within UNMIL.",POSITIVE,60.pdf
Classified_information,National_Security_Agency,"**NSA Intercepts**: The article discusses a Top Secret National Security Agency (NSA) report about intercepted communications involving high-level officials from France, specifically focusing on French President Nicolas Sarkozy and his diplomatic advisor Jean-David Levitte.

",NEGATIVE,89.pdf
the European Aeronautic Defence and Space Corporation,EADS,"4. **EADS Contract**: The article mentions the European Aeronautic Defence and Space Corporation (EADS) pursuing a contract with the U.S. military for tanker aircraft, with some details on the deal being cryptic.

",NEGATIVE,89.pdf
National_Security_Agency,National_Security_Agency,"**Other Topics of Discussion**: The agenda for the meeting includes various pressing subjects beyond the immediate issues, such as Iran, the Middle East Peace Process, and international relations with countries including Russia and China.

### Relationships Involving Organizations

- **National Security Agency (NSA)**: The NSA is the primary organization involved in intercepting communications and gathering intelligence.",POSITIVE,89.pdf
European Aeronautic Defence,EADS,"**French Government**: The French authorities, especially President Nicolas Sarkozy and his advisors, are depicted as seeking to maintain and improve bilateral relations with the U.S. despite concerns over U.S. intelligence practices.

- **European Aeronautic Defence and Space Corporation (EADS)**: EADS is engaged in contractual negotiations with the U.S. military, which could influence U.S.-France defense cooperation.

- **Pernod Ricard**: This global spirits company is indicated as a key player in a labeling dispute that involves high-level diplomatic involvement, linking economic interests with political relations between France and the U.S.

",POSITIVE,89.pdf
EADS,EADS,"**French Government**: The French authorities, especially President Nicolas Sarkozy and his advisors, are depicted as seeking to maintain and improve bilateral relations with the U.S. despite concerns over U.S. intelligence practices.

- **European Aeronautic Defence and Space Corporation (EADS)**: EADS is engaged in contractual negotiations with the U.S. military, which could influence U.S.-France defense cooperation.

- **Pernod Ricard**: This global spirits company is indicated as a key player in a labeling dispute that involves high-level diplomatic involvement, linking economic interests with political relations between France and the U.S.

",POSITIVE,89.pdf
the Office of Internal Oversight Services,OIOS,"2. **Investigation Findings**: The investigation by the Office of Internal Oversight Services (OIOS) found that while an audit revealed that 290,066 gallons of fuel (valued at US$455,404) could not be accounted for, there was no evidence showing that Officer 1 was personally responsible for the discrepancies.

",NEGATIVE,63.pdf
Organization:**,United_Nations,"**Relationships involving entities of type Organization:**

- **United Nations (UN)**: The governing body under which both UNMIL and MONUC operate.",POSITIVE,63.pdf
United_Nations,United_Nations,"The standards of conduct and regulations mentioned are instituted by the UN.
  
- **United Nations Mission in Liberia (UNMIL)**: The specific mission involved in the investigation, established by the UN, with Officer 1 serving in a significant role.

- **Office of Internal Oversight Services (OIOS)**: This internal organization of the UN is responsible for conducting audits and investigations within UN missions, including the audit referenced in the report.

",POSITIVE,63.pdf
United_Nations,United_Nations,"The standards of conduct and regulations mentioned are instituted by the UN.
  
- **United Nations Mission in Liberia (UNMIL)**: The specific mission involved in the investigation, established by the UN, with Officer 1 serving in a significant role.

- **Office of Internal Oversight Services (OIOS)**: This internal organization of the UN is responsible for conducting audits and investigations within UN missions, including the audit referenced in the report.

",POSITIVE,63.pdf
United_Nations,United_Nations,"The standards of conduct and regulations mentioned are instituted by the UN.
  
- **United Nations Mission in Liberia (UNMIL)**: The specific mission involved in the investigation, established by the UN, with Officer 1 serving in a significant role.

- **Office of Internal Oversight Services (OIOS)**: This internal organization of the UN is responsible for conducting audits and investigations within UN missions, including the audit referenced in the report.

",POSITIVE,63.pdf
OIOS,United_Nations,"**: Part of the OIOS, which conducted the audit related to fuel management that prompted the investigation.

- **Mission des Nations Unies au République Démocratique de Congo (MONUC)**: Another UN mission where Officer 1 served prior to his role in UNMIL, indicating a connection between the two missions through personnel assignment within the UN framework.",POSITIVE,63.pdf
United_Nations,United_Nations_Mission_in_Liberia,"**: Part of the OIOS, which conducted the audit related to fuel management that prompted the investigation.

- **Mission des Nations Unies au République Démocratique de Congo (MONUC)**: Another UN mission where Officer 1 served prior to his role in UNMIL, indicating a connection between the two missions through personnel assignment within the UN framework.",POSITIVE,63.pdf
United_Nations_Mission_in_Liberia,United_Nations,"**: Part of the OIOS, which conducted the audit related to fuel management that prompted the investigation.

- **Mission des Nations Unies au République Démocratique de Congo (MONUC)**: Another UN mission where Officer 1 served prior to his role in UNMIL, indicating a connection between the two missions through personnel assignment within the UN framework.",POSITIVE,63.pdf
The_Office_(American_TV_series),United_Nations,"**Investigation Initiation**: The Office of Internal Oversight Services (ID/OIOS) received information in October 2003 regarding an allegation against a staff member from the United Nations Office in Nairobi (UNON/ITS) who solicited money under false pretenses.

",NEGATIVE,73.pdf
"Ksh 22,250",United_Nations,"2. **Allegation Details**: The staff member allegedly obtained Ksh 22,250 (US$294.70) from the United Nations Political Office for Somalia (UNPOS) by promising to facilitate the installation of a New York tie-line satellite connection.

",NEGATIVE,73.pdf
UNON,United_Nations_Development_Programme,"5. **Methodology of Investigation**: The ID/OIOS employed various methodologies, including reviewing relevant documents, examining regulations, and interviewing witnesses from UNON, UNPOS, and UNDP offices.

",POSITIVE,73.pdf
the Department of Political Affairs,Deutsche_Presse-Agentur,"**Background Context**: The investigation involved UNPOS, a mission under the Department of Political Affairs (DPA) based in Nairobi, which receives support from UNON.

### Relationships Involving Entities of Type Organization

- **UNON and UNPOS**: UNPOS is a mission that operates under the Department of Political Affairs and receives common services from UNON, indicating a service-provider relationship where UNON supports the operational needs of UNPOS.

- **UNON/ITS and UNPOS**: The UNON/ITS staff member was involved in a transactional relationship with UNPOS, where UNPOS trusted the staff member to provide a service (installation of a communication line) in exchange for payment.

",NEGATIVE,73.pdf
Deutsche_Presse-Agentur,UNON,"**Background Context**: The investigation involved UNPOS, a mission under the Department of Political Affairs (DPA) based in Nairobi, which receives support from UNON.

### Relationships Involving Entities of Type Organization

- **UNON and UNPOS**: UNPOS is a mission that operates under the Department of Political Affairs and receives common services from UNON, indicating a service-provider relationship where UNON supports the operational needs of UNPOS.

- **UNON/ITS and UNPOS**: The UNON/ITS staff member was involved in a transactional relationship with UNPOS, where UNPOS trusted the staff member to provide a service (installation of a communication line) in exchange for payment.

",NEGATIVE,73.pdf
